;;;;
;OCORRENCIA;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Instalações sanitárias insatisfatório;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Afundamento local;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
OBRAS DE ARTE ESPECIAIS;;;;
OPERAÇÃO;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Tampa Danificada;;;
DRENAGEM OAC;Película deficiente;;;
SINALIZAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Amassada;;;
SINALIZAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
OBRAS DE ARTE ESPECIAIS;;;;
OBRA;;;;
OBRA;;;;
OBRA;;;;
OBRA;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Junta de dilatação deficiente;;;
OBRAS DE ARTE ESPECIAIS;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Deságue deficiente;;;
DRENAGEM OAC;;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Panela / Buraco;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;;;;
DRENAGEM OAC;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
OBRA;Áreas excessivamente remendadas;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
PAVIMENTAÇÃO;;;;
OBRA;;;;
DRENAGEM OAC;;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
OBRA;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
OBRA;;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
DRENAGEM OAC;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Áreas excessivamente remendadas;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
PAVIMENTAÇÃO;;;;
DRENAGEM OAC;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Áreas excessivamente remendadas;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Acúmulo de vegetação;;;
DRENAGEM OAC;Errada;;;
SINALIZAÇÃO;Escorregamento;;;
TERRAPLENOS E CONTENÇÕES;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;;;;
OPERAÇÃO;;;;
OPERAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Balizadores ausentes ou deficientes;;;
INTERSEÇÕES, ACESSOS E RETORNOS;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Ancoragem deficiente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Suja;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;Capina deficiente;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Capina deficiente;;;
DRENAGEM OAC;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Capina deficiente;;;
OBRAS DE ARTE ESPECIAIS;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Ausente;;;
SINALIZAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Guarda-corpo danificado;;;
OBRAS DE ARTE ESPECIAIS;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Fixação deficiente;;;
SINALIZAÇÃO;Suja;;;
SINALIZAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Amassada;;;
SINALIZAÇÃO;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Ausente;;;
SINALIZAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Película deficiente;;;
SINALIZAÇÃO;Suja;;;
SINALIZAÇÃO;Capina deficiente;;;
DRENAGEM OAC;Capina deficiente;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Capina deficiente;;;
OBRAS DE ARTE ESPECIAIS;Acúmulo de vegetação;;;
DRENAGEM OAC;Capina deficiente;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Película deficiente;;;
SINALIZAÇÃO;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Fraca / Desgastada;;;
SINALIZAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Acúmulo de vegetação;;;
DRENAGEM OAC;Capina deficiente;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Instalações sanitárias insatisfatório;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Poda deficitária;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Operando;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Atendimento insuficiente;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Capina deficiente;;;
DRENAGEM OAC;Capina deficiente;;;
DRENAGEM OAC;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Buraco;;;
OBRAS DE ARTE ESPECIAIS;Capina deficiente;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Errada;;;
SINALIZAÇÃO;Suja;;;
SINALIZAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Amassada;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Acúmulo de vegetação;;;
DRENAGEM OAC;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Ausente;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Poda deficitária;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
PAVIMENTAÇÃO;Buraco;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Junta de dilatação deficiente;;;
OBRAS DE ARTE ESPECIAIS;Suja;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Acúmulo de vegetação;;;
DRENAGEM OAC;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Sujeira;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Capina deficiente;;;
DRENAGEM OAC;Capina deficiente;;;
DRENAGEM OAC;Película deficiente;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Ausente;;;
SINALIZAÇÃO;;;;
DRENAGEM OAC;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Balizadores ausentes ou deficientes;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Fraca / Desgastada;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Ausente;;;
SINALIZAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Erosão;;;
TERRAPLENOS E CONTENÇÕES;;;;
OPERAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Película deficiente;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Acúmulo de vegetação;;;
DRENAGEM OAC;Poda deficitária;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
OBRA;;;;
OBRA;Panela / Buraco;;;
PAVIMENTAÇÃO;Áreas excessivamente remendadas;;;
PAVIMENTAÇÃO;Suja;;;
SINALIZAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Amassada;;;
SINALIZAÇÃO;;;;
OBRAS DE ARTE ESPECIAIS;Fixação deficiente;;;
SINALIZAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Ancoragem deficiente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Não funcional;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Amassada;;;
SINALIZAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Cobertura vegetal deficiente;;;
TERRAPLENOS E CONTENÇÕES;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Afundamento local;;;
PAVIMENTAÇÃO;Ancoragem deficiente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Mato alto;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Desplacamento;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Danificada;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
OPERAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Quebrada;;;
SINALIZAÇÃO;Amassada;;;
SINALIZAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Equipamento inoperante;;;
OPERAÇÃO;Danificada;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Panela / Buraco;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Cobertura vegetal deficiente;;;
TERRAPLENOS E CONTENÇÕES;Afundamento local;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Choque Barreira;;;
OPERAÇÃO;;;;
OBRAS DE ARTE ESPECIAIS;;;;
OPERAÇÃO;Ausente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Panela / Buraco;;;
PAVIMENTAÇÃO;Peças soltas ou danificadas;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Equipamento inoperante;;;
OPERAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Irregularidades no pavimento;;;
OBRAS DE ARTE ESPECIAIS;;;;
PAVIMENTAÇÃO;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Ausente;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Operando;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Operando;;;
OPERAÇÃO;;;;
OBRAS DE ARTE ESPECIAIS;;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Fixação deficiente;;;
SINALIZAÇÃO;;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Amassada;;;
SINALIZAÇÃO;Deságue deficiente;;;
DRENAGEM OAC;Configuração geométrica inadequada;;;
INTERSEÇÕES, ACESSOS E RETORNOS;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Operando;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
OBRAS DE ARTE ESPECIAIS;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Suja;;;
SINALIZAÇÃO;Operando;;;
OPERAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Operando;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Suja;;;
SINALIZAÇÃO;Altura superior a 30 cm;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Altura superior a 30 cm;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
PAVIMENTAÇÃO;;;;
OBRA;Desplacamento;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
OBRA;Altura superior a 30 cm;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Altura superior a 30 cm;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
OBRA;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Panela \/ Buraco;;;
PAVIMENTAÇÃO;;;;
OBRA;;;;
OBRA;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Altura superior a 30 cm;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Altura superior a 30 cm;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Altura superior a 30 cm;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Desplacamento;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Ondulação/Corrugação;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;;;;
OBRA;;;;
OBRA;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Árvores e/ou arbustos afetando a visibilidade;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
OBRA;;;;
OBRA;Panela / Buraco;;;
PAVIMENTAÇÃO;Altura superior a 30 cm;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Altura superior a 30 cm;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
OBRA;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos afetando a visibilidade;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos afetando a visibilidade;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos representando perigo à segurança do tráfego;;;
